seed,prompt_id,prompt,generated_text
42,1,నేను పాఠశాలకు,"వెళ్లినా ఏం చేశా వని మాజీ కేంద్రమంత్రి, టీడీపీ ఎంపీ సుజనా చౌదరి ఎద్దేవా చేశారు. తాను చదువు కొని ఉంటే బాగుండే దని చెప్పడం సరికాదన్నారు. ఈ మేరకు"
42,2,ఆమె పేరు,"మీద పడిన వ్యక్తి. ఎంత చెప్పినా మాత్రం పట్టించుకోవడం లేదని బీజేపీ సీనియర్ నేత తరుణ్ చు గ్ వ్యాఖ్యానించారు, తాను ఎందుకు పుట్ట బోయే దే అనేది తెలియడం లేదంటూ"
42,3,నాకు నచ్చిన,"డితే సరే సీఎం కేసీఆర్. ఆ పార్టీ అధ్యక్షుడు రాహుల్ గాంధీ మళ్లీ పార్టీని వీడ ాలని నిర్ణయించారు కానీ, ఆయన పేరు విన కుండా పని చేస్తూ వస్తున్నారు కొందరు"
42,4,ఈ రోజు,"ఉదయం 6. 30 గంటల నుంచి సాయంత్రం 8 : 00 నిమిషాల మధ్య, మధ్యాహ్నం 2 - 11 గంటలకు 9 గంట వరకు 5 గంటల పాటు విద్యుత్"
42,5,మా ఇంట్లో,"ఉన్న సామాన్ లు చేసి, ఓ మహిళ తన భార్య పై లైంగిక దాడి చేశాడు. ఆమె భర్త ఇచ్చిన ఫిర్యాదు మేరకు కేసు నమోదు చేసుకుని దర్యాప్తు చేస్తున్నారు పోలీసులు"
42,6,అతను చాలా,"ఆరోగ్య సమస్యతో బాధ పడుతుంటారు. కానీ అది కాస్త తగ్గి పోయి, అలా ఎన్నో విషయాలు వెలుగులోకి వస్తున్నాయి అని ఓ వ్యక్తి కూడా చెప్పు కున్నాడు ఒక వృద్ధ ుడిని"
42,7,తెలుగు భాష,", హిందీ నేర్ చా ల్సిన మాతృభాష పై ఆంగ్ల బోధన లో మార్పులు చేయాలని ఏపీ గిరిజన శాఖ మంత్రి సత్యవతి రాథోడ్ సూచించారు. ఈ మేరకు బుధవారం ఉదయం ఆమె"
42,8,పిల్లలు ఆడుకుంటున్నారు,". ఈ ఘటన తెలంగాణలోని ఆదిలాబాద్ జిల్లా కేంద్రంలోని ఓ ఆస్పత్రిలో చోటుచేసుకుంది, జగిత్యాల రూరల్ పోలీస్స్టేషన్ పరిధిలోని మొ స రా సమీపంలో గల పెద్ద గ్రామానికి చెందిన సాయి కిరణ్"
42,9,భారతదేశంలో,ఓ వ్యక్తి నుంచి తన భార్యను బలవంతంగా చంపి పారిపోయిన ఘటన కర్ణాటక రాష్ట్రంలోని సూరత్ లోని సు లా పూర్లో జరిగింది. జ ాలి క్ గావ్ అనే మహిళ మంగళవారం
42,10,ఒక రోజు,"ఢిల్లీలో మరోసారి కొత్త కోవిడ్ కేసులు నమోదయ్యాయి. ఆదివారం రోజున 14 3, 000 మంది రోగులు సంక్రమణ బారిన పడి ప్రాణాలు కోల్పోయారు మరియు మరణాల రేటు 98 గా"
